# OpenNGC selected deep-sky subset (Messier, named, bright, or large objects)
# display_name catalog_id ra_hours dec_degrees magnitude type constellation major_axis_arcmin minor_axis_arcmin position_angle_deg redshift messier
IC 10	IC 10	0.33815	59.303778	10.35	G	Cas	6.76	6.03	129	-0.00116
IC 127	IC 127	1.496558	-6.980056	9.2	G	Cet	1.69	0.45	110	0.0062
IC 341	IC 341	3.682136	21.960194	12	Neb	Tau	134.9
IC 342	IC 342	3.780139	68.096361	9.68	G	Cam	19.77	18.79	0	0.000077
omi Per Cloud	IC 348	3.742831	32.162833	12	Cl+N	Per	10	10		0.000053
Barnard's Merope Nebula	IC 349	3.772253	23.939806	12	RfN	Tau	25.7			-0.000148
IC 353	IC 353	3.883631	25.848	12	Neb	Tau	181.97	30.2
IC 354	IC 354	3.899419	23.147	12	Neb	Tau	128.82
IC 356	IC 356	4.129697	69.812444	10.24	G	Cam	4.02	3.73	90	0.003446
IC 359A	IC 359A	4.311389	28.29	12	RfN	Tau	15	10
IC 360	IC 360	4.150714	26.131194	12	Neb	Tau	180	100
Flaming Star Nebula	IC 405	5.274856	34.356167	10	Neb	Aur	50	30
IC 410	IC 410	5.378333	33.366667	12	Neb	Aur	40	30
IC 418	IC 418	5.457831	-12.697278	9.44	PN	Lep	0.2			0.000207
Flame Nebula	IC 434	5.683578	-2.453778	11	HII	Ori	90	30		0.000036
Gem A	IC 443	6.277058	22.531667	12	SNR	Gem	50	40
IC 444	IC 444	6.309444	23.313333	7.03	RfN	Gem	8	4
IC 447	IC 447	6.516756	9.897444	7.7	HII	Mon	25	20
IC 448	IC 448	6.545928	7.388639	12	HII	Mon	15	10
IC 1274	IC 1274	18.164175	-23.648222	12	HII	Sgr	20	5
IC 1283	IC 1283	18.288014	-19.762222	12	HII	Sgr	15	15
IC 1284	IC 1284	18.294342	-19.672028	7.7	Neb	Sgr	16.98	15.14
IC 1287	IC 1287	18.523803	-10.795806	6.1	RfN	Sct	20	10
IC 1297	IC 1297	19.289833	-39.613056	10.7	PN	CrA	0.12			0.000063
IC 1310	IC 1310	20.166939	34.968889	12	Cl+N	Cyg	15	3
IC 1340	IC 1340	20.935625	31.047861	12	SNR	Cyg	25.12	19.95
IC 1442	IC 1442	22.267036	53.991333	9.1	OCl	Lac	4.2			-0.000084
IC 1459	IC 1459	22.952947	-36.462222	10.54	G	Gru	4.61	3.23	43	0.006007
IC 1613	IC 1613	1.079942	2.117778	9.54	G	Cet	18.32	17.14	50	-0.000777
IC 1805	IC 1805	2.544864	61.456889	6.5	Cl+N	Cas	60	60		-0.000135
IC 1831	IC 1831	2.732333	62.411639	12	Neb	Cas	120.23
IC 1848	IC 1848	2.852942	60.402472	6.5	Cl+N	Cas	40	10		-0.000102
IC 2105	IC 2105	4.824072	-69.200917	11.3	Cl+N	Dor	0.65	0.6	170
IC 2149	IC 2149	5.939969	46.104778	10.78	PN	Aur	0.14			-0.000112
IC 2157	IC 2157	6.079883	24.071028	8.4	OCl	Gem	2.7
IC 2165	IC 2165	6.361861	-12.987222	10.5	PN	CMa	0.15			0.000175
IC 2177	IC 2177	7.076919	-10.471056	12	RfN	Mon	20	20
Toby Jug Nebula	IC 2220	7.947486	-59.125778	12	RfN	Car	5
omi Vel Cluster	IC 2391	8.675522	-53.035472	2.5	OCl	Vel	29.1			0.000049
IC 2395	IC 2395	8.708364	-48.150556	4.6	OCl	Vel	6			0.000059
Browning	IC 2431 NED02	9.076311	14.595778	14.04	G	Cnc	0.6	0.48	32	0.049871
IC 2448	IC 2448	9.118406	-69.941833	10.4	PN	Car	0.15			-0.00008
IC 2488	IC 2488	9.460619	-57.006944	7.4	OCl	Vel	7.2			-0.000009
IC 2501	IC 2501	9.646439	-60.091861	10.4	PN	Car	0.03			0.000109
IC 2553	IC 2553	10.155797	-62.613694	10.3	PN	Car	0.15			0.000153
Coddington's Nebula	IC 2574	10.473189	68.412139	10.46	G	UMa	12.91	5.57	48	0.00016
IC 2581	IC 2581	10.458097	-57.617306	4.3	OCl	Car	6			-0.000015
IC 2599	IC 2599	10.624192	-58.733389	12	HII	Car	20	20
tet Car Cluster	IC 2602	10.715964	-64.394194	12	OCl	Car	48			0.000058
IC 2714	IC 2714	11.290931	-62.725111	8.2	OCl	Car	7.2			-0.000047
IC 2872	IC 2872	11.468897	-62.988944	12	Neb	Cen	15.14	6.03
lam Cen Nebula	IC 2944	11.596369	-63.019833	4.5	Cl+N	Cen	7.2			-0.000003
IC 3568	IC 3568	12.551883	82.563917	10.6	PN	Cam	0.38			-0.000133
IC 4191	IC 4191	13.146453	-67.64375	10.6	PN	Mus	0.08			-0.000023
IC 4291	IC 4291	13.615669	-62.093111	9.7	OCl	Cen	5.1			-0.000093
IC 4296	IC 4296	13.610842	-33.965833	10.51	G	Cen	4.62	2.43	42	0.012601
IC 4329	IC 4329	13.818142	-30.295861	10.97	G	Cen	4.74	2.65	67	0.01514
IC 4406	IC 4406	14.374022	-44.150194	10.2	PN	Lup	0.58			-0.000073
IC 4499	IC 4499	15.005347	-82.2135	8.56	GCl	Aps	5.1			0.000128
IC 4592	IC 4592	16.199631	-19.454667	3.9	RfN	Sco	60	40
IC 4593	IC 4593	16.195694	12.071389	10.7	PN	Her	0.66			0.000073
IC 4601	IC 4601	16.338278	-20.087306	12	Neb	Sco	20	10
IC 4603	IC 4603	16.423467	-24.468361	12	Neb	Oph	20	5
rho Oph Nebula	IC 4604	16.425325	-23.436583	5.1	Neb	Oph	60	25
IC 4605	IC 4605	16.503467	-25.115167	4.7	Neb	Sco	30	15
IC 4628	IC 4628	16.949564	-40.450972	12	Neb	Sco	89.13	58.88
IC 4634	IC 4634	17.025997	-21.825972	10.9	PN	Oph	0.14			-0.000115
IC 4651	IC 4651	17.41365	-49.93825	6.9	OCl	Ara	9.6			-0.000103
IC 4665	IC 4665	17.774217	5.648722	4.2	OCl	Oph	24.6			-0.000048
IC 4678	IC 4678	18.109297	-23.954444	10.4	Neb	Sgr
IC 4685	IC 4685	18.154861	-23.98725	12	Neb	Sgr	15	10
IC 4701	IC 4701	18.276594	-16.648278	12	Neb	Sgr	60	40
Eagle Nebula	IC 4703	18.315617	-13.845389	6	Neb	Se2	5.05	5.05	90	0.000033
Small Sgr Star Cloud	M 24 · IC 4715	18.282256	-18.514556	4.5	*Ass	Sgr	120	60	90		M 24
M 25	M 25 · IC 4725	18.529658	-19.114944	4.6	OCl	Sgr	14.1			0.00001	M 25
IC 4756	IC 4756	18.647642	5.462167	4.6	OCl	Se2	24			-0.000086
